ORDEM PRODUCAO;PV;CODIGO PRODUTO;DESCRIÇÃO COMPONENTE;PRODUTO PAI CONCATENADO;STATUS PCP;QTD EM ESTOQUE;OBSERVAÇÃO ESTOQUE;SOLICITAÇÃO DE COMPRA;COMPRADO;VALOR UNITARIO COMPRA;TIPO PAGAMENTO/FATURADO;FORNECEDOR SELECIONADO;PEDIDO COMPRA (PROTHEUS);IPI COMPRA;DATA EMISSÃO PC;DATA PREVISÃO PGTO
01861401002;005860;103064400;CH NV 3C TQ VT 500L PLT 1250MM;;SEPARADO;2;;;2;1200;SEPARADO;WP MONTAGENS ELETROM LTDA;013393;;;
01861401002;005860;1518512;ELEMENTO FILTRO;;SEPARADO;2;;;2;220,97;SEPARADO;VARELLA VEICULOS PESADOS LTDA;013418;;;
01861401002;005860;204517800;FLANGE 4'';;SEPARADO;4;;;4;115,77;SEPARADO;SCAPSUL EQUIPAMENTOS RODOVIARIOS LTDA;000000;;;
01861401002;005860;204580000;TQ VT 500L POLT;;SEPARADO;2;;;1;1585,4;SEPARADO;ACCURATE MACHINE USINAGEM DE PRECISAO LTDA ME                                   ;013392;;;
01861401002;005860;30289;COPO P/FILTRO R9030MB/R12030;;SEPARADO;2;;;2;64;SEPARADO;MACIEL IND E COMERCIO DE PECAS PARA AUTOS LTDA;013165;;;
01861401002;005860;34952;,;;SEPARADO;2;;;2;233;SEPARADO;MACIEL IND E COMERCIO DE PECAS PARA AUTOS LTDA;013165;;;
01861401002;005860;61103000322;PRT AC 1200X2100 STC40;;SEPARADO;1;;;1;2867,43;SEPARADO;ONDAS ACUSTICA REVESTIMENTO ACUSTICO LTDA;000000;;;
01861401002;005860;801001300;ATND L1050XH1200XP900MM;;SEPARADO;2;;;2;2268;SEPARADO;ONDAS ACUSTICA REVESTIMENTO ACUSTICO LTDA;013401;;;
01861401002;005860;801005300;SILENCIOSO HOSP 4;;SEPARADO;2;;;2;1452,15;SEPARADO;SCAPSUL EQUIPAMENTOS RODOVIARIOS LTDA;013409;;;
01861401002;005860;801019700;ATND L1050XH1200XP600MM;;SEPARADO;2;;;2;1512;SEPARADO;ONDAS ACUSTICA REVESTIMENTO ACUSTICO LTDA;013401;;;
01861401002;005860;801060900;"CATALISADOR UMICORE 8,85X4,0""";;SEPARADO;2;;;2;5163,79;SEPARADO;SCAPSUL EQUIPAMENTOS RODOVIARIOS LTDA;013409;;;
01861401002;005860;801215700;VENZ GALV L1050XH1200MM;;SEPARADO;4;;;4;693;SEPARADO;ONDAS ACUSTICA REVESTIMENTO ACUSTICO LTDA;013401;;;
01861401003;005860;204582700;ELETROBOMBA ENG CLIMAX H34    ;;SEPARADO;2;;;2;5750;SEPARADO;BOMBAS CLIMAX;013407;;;
01861401004;005860;101095500;MOD COMUNICACAO CM3-ETHERNET;;SEPARADO;3;;;3;1166,18;SEPARADO;SERVINTEL INTERNACIONAL LTDA;013425;;;
01861401004;005860;103000500;CH COMUT 3P 400A OT400E03CP;;SEPARADO;2;;;2;2530,91;SEPARADO;ABB ELETRIFICACAO LTDA;013416;;;
01861401004;005860;103004000;CH FIM CURSO 1NA 1NF TS23611Z;;SEPARADO;2;;;2;97,3;SEPARADO;ACE SCHMERSAL ELET INDUST LT;013192;;;
01861401004;005860;103004300;CH REV 2 POLOS 10 WS2 10E Z11;;SEPARADO;1;;;1;183,69;SEPARADO;EFE- SEMITRANS;000000;;;
01861401004;005860;103004600;CH REV 3 POLOS 16A WS3/10E Z11;;SEPARADO;1;;;1;161,69;SEPARADO;EFE- SEMITRANS;000000;;;
01861401004;005860;103015200;CH IGNICAO UNIVERSAL 314008M91;;SEPARADO;2;;;2;91,28;SEPARADO;RDR AUTO PECAS LTDA;000000;;;
01861401004;005860;104010000;GRAMPO BAR 10X3MM 0.50-4.00MM;;SEPARADO;11;;;11;1,94;SEPARADO;PHOENIX CONTACT IND E COMERCIO LTDA;000000;;;
01861401004;005860;104011700;POSTE PF E/UK;;SEPARADO;15;;;15;3,31;SEPARADO;PHOENIX CONTACT IND E COMERCIO LTDA;000000;;;
01861401004;005860;104192100;BORNE DUPLO PUSH IN 4MM PTTB4;;RETIRADO;34;;;34;8,9;RETIRADO;PHOENIX CONTACT IND E COMERCIO LTDA;000000;;;
01861401004;005860;104192200;TAMPA P/ BORNE DUP 4MM D-STTB4;;RETIRADO;8;;;8;2,9;RETIRADO;PHOENIX CONTACT IND E COMERCIO LTDA;000000;;;
